# ASCII data info: columns
# 1. region id 2. number of climates,
# 3..n annual npp
# Version info: 7.11.0.584 (R2010b) lemmen@ MACI64 L  06-Dec-2010 22:52:05 /Users/lemmen/devel/glues/visual/matlab  cl_write_region.m cl_write_region 06-Dez-2010 22:51:21 (c)2010 lemmen
0668 001 886.16
0669 001 945.65
0670 001 951.37
0671 001 979.58
0672 001 1011.34
0673 001 1011.34
0674 001 706.69
0675 001 629.46
0676 001 518.34
0677 001 621.74
0678 001 702.01
0679 001 640.05
0680 001 639.44
0681 001 697.02
0682 001 360.63
0683 001 363.26
0684 001 381.16
0685 001 203.50
