# ASCII data info: columns
# 1. region id 2. number of climates,
# 3..n annual temp
# Version info: 7.11.0.584 (R2010b) lemmen@ MACI64 L  06-Dec-2010 22:55:05 /Users/lemmen/devel/glues/visual/matlab  cl_write_region.m cl_write_region 06-Dez-2010 22:53:30 (c)2010 lemmen
0560 001 22.21
0561 001 22.50
0562 001 26.31
0563 001 21.13
0564 001 22.56
0565 001 26.74
0566 001 26.55
0567 001 26.63
0568 001 26.35
0569 001 28.20
0570 001 24.51
0571 001 22.70
0572 001 27.07
0573 001 26.63
0574 001 25.09
0575 001 25.54
0576 001 22.56
0577 001 26.69
0578 001 25.35
0579 001 26.01
0580 001 26.68
0581 001 27.21
0582 001 26.68
0583 001 24.42
0584 001 25.76
0585 001 26.64
0586 001 26.61
0587 001 26.63
0588 001 22.10
0589 001 26.61
0590 001 27.65
0591 001 26.60
0592 001 24.94
0593 001 27.62
0594 001 27.31
0595 001 27.14
0596 001 28.51
0597 001 25.77
0598 001 26.26
0599 001 26.33
0600 001 26.60
0601 001 26.20
0602 001 27.65
0603 001 25.36
0604 001 25.67
0605 001 27.65
0606 001 25.80
0607 001 26.01
0608 001 25.97
0609 001 24.86
0610 001 25.67
0611 001 25.58
0612 001 26.65
0613 001 25.12
0614 001 26.58
0615 001 24.85
0616 001 27.97
0617 001 26.07
0618 001 27.01
0619 001 28.08
0620 001 26.43
0621 001 27.05
0622 001 25.63
0623 001 23.80
0624 001 24.94
0625 001 24.30
0626 001 24.84
0627 001 23.64
0628 001 23.98
0629 001 26.11
0630 001 25.49
0631 001 23.36
0632 001 23.74
0633 001 26.96
0634 001 24.50
0635 001 25.85
0636 001 23.98
0637 001 24.13
0638 001 27.43
0639 001 24.47
0640 001 23.67
0641 001 21.93
0642 001 24.16
0643 001 18.90
0644 001 24.50
0645 001 23.55
0646 001 24.40
0647 001 22.21
0648 001 20.90
0649 001 19.39
0650 001 18.80
0651 001 20.47
0652 001 20.61
0653 001 22.75
0654 001 20.75
0655 001 22.74
0656 001 18.96
0657 001 20.90
0658 001 22.79
0659 001 17.86
0660 001 20.54
0661 001 21.82
0662 001 21.82
0663 001 19.44
0664 001 22.32
0665 001 20.45
0666 001 19.63
0667 001 15.85
0668 001 15.10
0669 001 18.20
0670 001 18.33
0671 001 18.78
0672 001 19.28
0673 001 19.28
0674 001 10.56
0675 001 10.27
0676 001 6.71
0677 001 10.30
0678 001 11.08
0679 001 10.47
0680 001 10.24
0681 001 10.36
0682 001 2.26
0683 001 2.35
0684 001 2.96
0685 001 -3.43
