# ASCII data info: columns
# 1. region id 2. number of climates,
# 3..n annual npp
# Version info: 7.11.0.584 (R2010b) lemmen@ MACI64 L  06-Dec-2010 22:55:05 /Users/lemmen/devel/glues/visual/matlab  cl_write_region.m cl_write_region 06-Dez-2010 22:53:30 (c)2010 lemmen
0582 001 737.22
0583 001 850.83
0584 001 630.46
0585 001 1005.78
0586 001 1043.10
0587 001 1078.13
0588 001 978.75
0589 001 1064.77
0590 001 336.61
0591 001 1023.06
0592 001 411.84
0593 001 378.99
0594 001 459.71
0595 001 388.38
0596 001 428.19
0597 001 1003.46
0598 001 1034.00
0599 001 1137.44
0600 001 1260.79
0601 001 386.16
0602 001 336.61
0603 001 1010.43
0604 001 1067.73
0605 001 336.61
0606 001 1061.39
0607 001 983.77
0608 001 1019.93
0609 001 984.06
0610 001 1000.39
0611 001 1062.77
0612 001 1158.55
0613 001 1123.58
0614 001 1121.28
0615 001 420.45
0616 001 442.37
0617 001 990.86
0618 001 382.08
0619 001 404.26
0620 001 1068.23
0621 001 397.53
0622 001 1069.52
0623 001 911.98
0624 001 125.49
0625 001 896.24
0626 001 960.15
0627 001 872.22
0628 001 871.57
0629 001 113.83
0630 001 1005.81
0631 001 969.00
0632 001 918.83
0633 001 565.14
0634 001 1158.59
0635 001 1050.57
0636 001 871.57
0637 001 965.83
0638 001 100.54
0639 001 1144.16
0640 001 872.73
0641 001 849.78
0642 001 834.80
0643 001 322.38
0644 001 1084.95
0645 001 957.01
0646 001 993.63
0647 001 922.83
0648 001 798.75
0649 001 288.49
0650 001 886.29
0651 001 975.06
0652 001 838.46
0653 001 916.98
0654 001 849.87
0655 001 919.73
0656 001 1038.83
0657 001 798.75
0658 001 835.94
0659 001 626.56
0660 001 925.59
0661 001 820.45
0662 001 820.45
0663 001 1056.49
0664 001 951.61
0665 001 970.72
0666 001 1068.45
0667 001 820.09
0668 001 902.38
0669 001 883.80
0670 001 888.95
0671 001 963.22
0672 001 1046.86
0673 001 1046.86
0674 001 708.58
0675 001 606.10
0676 001 546.30
0677 001 593.07
0678 001 719.45
0679 001 621.89
0680 001 622.96
0681 001 700.13
0682 001 379.58
0683 001 382.48
0684 001 404.00
0685 001 221.39
