# ASCII data info: columns
# 1. region id 2. number of climates,
# 3..n annual gdd5
# Version info: 7.11.0.584 (R2010b) lemmen@ MACI64 L  06-Dec-2010 22:55:05 /Users/lemmen/devel/glues/visual/matlab  cl_write_region.m cl_write_region 06-Dez-2010 22:53:30 (c)2010 lemmen
0641 001 263.19
0642 001 289.96
0643 001 226.77
0644 001 293.99
0645 001 282.62
0646 001 292.86
0647 001 266.53
0648 001 250.86
0649 001 232.66
0650 001 225.64
0651 001 245.65
0652 001 247.27
0653 001 273.01
0654 001 249.02
0655 001 272.88
0656 001 227.48
0657 001 250.86
0658 001 273.50
0659 001 214.27
0660 001 246.53
0661 001 261.85
0662 001 261.85
0663 001 233.24
0664 001 267.85
0665 001 245.44
0666 001 235.57
0667 001 190.23
0668 001 181.17
0669 001 218.37
0670 001 219.96
0671 001 225.33
0672 001 231.37
0673 001 231.37
0674 001 124.42
0675 001 123.40
0676 001 94.56
0677 001 122.83
0678 001 123.76
0679 001 123.04
0680 001 124.14
0681 001 116.95
0682 001 78.06
0683 001 79.85
0684 001 83.92
0685 001 51.77
