  1 Northwest_Territories	300.75 187.34 251.01
269 Arizona	157.14 100.57 157.14
270 Oklahoma	74.78 47.33 74.78
271 Missouri	640.12 408.20 627.09
272 Syria_Lebanon	73.28 47.33 61.69
273 Iran	77.37 49.30 74.28
274 Russian_Turkestan	78.59 49.30 78.59
275 Qinghai	91.51 57.19 91.51
276 Korea	123.97 78.88 111.70
277 Oklahoma	80.67 51.27 80.67
278 Algeria	115.05 72.96 105.84
279 Syria_Lebanon	137.90 86.77 137.90
280 Afghanistan	113.97 72.96 113.97
281 Afghanistan	106.12 67.05 106.12
282 Qinghai	74.94 47.33 74.94
283 New_Mexico	87.72 55.22 87.72
284 Tennessee	85.61 55.22 85.61
285 North_Carolina	60.54 39.44 60.54
286 North_Carolina	65.68 41.41 57.22
287 Tennessee	68.13 43.38 68.13
288 Iran	84.28 53.24 84.28
289 Japan	98.19 63.10 85.73
290 California	70.89 45.36 69.47
291 New_Mexico	107.65 69.02 107.65
292 New_Mexico	76.66 49.30 76.66
293 Arkansas	165.76 104.52 165.76
294 Algeria	76.29 49.30 75.60
295 Afghanistan	117.15 74.94 117.15
296 Afghanistan	71.18 45.36 71.18
297 Pakistan_India_Bangladesh	104.19 67.05 104.19
298 Sichuan	82.49 53.24 82.49
299 Shaanxi	71.62 45.36 71.62
300 Henan	124.55 78.88 124.55
301 Shandong	71.39 45.36 71.39
302 California	81.01 51.27 81.01
303 Morocco	113.35 72.96 105.81
304 Algeria	109.09 69.02 102.85
305 Algeria	141.23 90.71 140.05
306 Iraq	79.30 51.27 79.30
307 Iran	69.40 43.38 69.40
308 Iran	93.52 59.16 93.52
309 Pakistan_India_Bangladesh	106.25 67.05 106.25
310 Xizang	1547.38 984.03 1547.38
311 Henan	89.95 57.19 89.95
312 Jiangsu	85.09 53.24 80.17
313 Japan	115.97 72.96 91.36
314 Alabama	232.30 147.90 231.07
315 Morocco	82.92 53.24 82.92
316 Syria_Lebanon	72.39 45.36 72.39
317 Iraq	120.79 76.91 120.79
318 Pakistan_India_Bangladesh	88.11 55.22 88.11
319 Aridoamerica	73.38 47.33 66.75
320 Arizona	124.90 78.88 123.51
321 Texas	134.90 86.77 134.90
322 Iran	466.57 297.77 466.57
323 Sichuan	112.51 70.99 112.51
324 Texas	88.49 57.19 88.49
325 Xizang	59.85 37.47 59.85
326 Sichuan	96.38 61.13 96.38
327 Arizona	75.70 47.33 75.70
328 Morocco	94.81 61.13 90.72
329 Afghanistan	133.21 84.80 133.21
330 Anhui	99.97 63.10 99.97
331 Afghanistan	65.88 41.41 65.88
332 Texas	110.79 70.99 110.79
333 Algeria	233.05 147.90 233.05
334 Aridoamerica	173.03 110.43 166.17
335 Aridoamerica	93.10 59.16 93.10
336 Texas	87.79 55.22 85.23
337 Iran	66.71 41.41 66.71
338 Pakistan_India_Bangladesh	92.87 59.16 92.87
339 Xizang	69.38 43.38 69.38
340 Xizang	85.77 55.22 85.77
341 Hubei	145.69 92.68 145.69
342 Xizang	96.67 61.13 96.67
343 Libya	535.64 341.16 513.46
344 Saudi_Arabia	689.95 439.76 682.60
345 Iran	67.01 43.38 67.01
346 Afghanistan	75.01 47.33 75.01
347 Pakistan_India_Bangladesh	123.41 78.88 123.41
348 Sichuan	110.45 70.99 110.45
349 Zhejiang	187.52 120.29 177.19
350 Aridoamerica	72.90 47.33 72.90
351 Florida	490.76 311.58 460.52
352 Algeria	477.84 303.69 477.84
353 Pakistan_India_Bangladesh	73.43 47.33 73.43
354 Hunan	360.27 230.72 360.27
355 Pakistan_India_Bangladesh	78.75 49.30 78.75
356 Pakistan_India_Bangladesh	65.39 41.41 65.39
357 Aridoamerica	81.91 51.27 81.91
358 Egypt	731.62 465.39 715.16
359 Jiangxi	114.93 72.96 114.93
360 Aridoamerica	116.03 72.96 91.82
361 Pakistan_India_Bangladesh	117.25 74.94 117.25
362 Sichuan	138.72 88.74 138.72
363 Guizhou	137.23 86.77 137.23
364 Aridoamerica	121.51 76.91 121.51
365 Texas	329.60 209.03 322.61
366 Pakistan_India_Bangladesh	85.38 55.22 85.38
367 Sichuan	178.47 114.38 178.47
368 Saudi_Arabia	378.47 242.56 362.36
369 Iran	638.04 406.23 612.36
370 Pakistan_India_Bangladesh	215.99 138.04 215.99
371 Aridoamerica	75.23 47.33 70.18
372 Pakistan_India_Bangladesh	72.32 45.36 72.32
373 Fujian	91.66 59.16 82.90
374 Libya	368.38 234.67 368.38
375 Saudi_Arabia	388.74 246.50 388.28
376 Pakistan_India_Bangladesh	153.88 98.60 149.32
377 Burma	83.27 53.24 83.27
378 Yunnan	100.59 63.10 100.59
379 Guangdong	81.37 51.27 81.37
380 Aridoamerica	103.98 67.05 103.98
381 Libya	331.18 211.00 331.18
382 Pakistan_India_Bangladesh	103.34 65.08 103.26
383 Pakistan_India_Bangladesh	212.18 136.07 212.18
384 Aridoamerica	59.20 37.47 59.20
385 Algeria	1416.95 905.15 1416.95
386 Morocco	382.92 244.53 373.28
387 Pakistan_India_Bangladesh	76.16 49.30 76.16
388 Pakistan_India_Bangladesh	139.33 88.74 133.29
389 Pakistan_India_Bangladesh	122.72 78.88 114.15
390 Pakistan_India_Bangladesh	825.69 526.52 815.72
391 Yunnan	382.79 244.53 382.79
