No;No_sort;Datafile;t_min;t_max;Plotname;Proxy;Interpret;Latitude;Longitude;CutoffFreq;SourcePDF;Source ;Comment
111;111;climdyn_21_337_sst.dat;0;11;Angola Basin;U$^{k'}_{37}$SST;??;-17.17;11;11;climdyn_21_337.pdf;Kim2003;??
112;112;sajama_dust.dat;0;11;Sajama, Bolivia;Particles;??;-18.1;-68.9;-1;climchange_59_137.pdf;Thompson2003;??
113;113;sajama_d18O.dat;0;11;Sajama, Bolivia;$\delta^{18}$O;??;-18.1;-68.9;11;climchange_59_137.pdf;Thompson2003;??
114;114;holo_d18O_SEAfrica.dat;0;10;SE Africa;$\delta^{18}$O;??;-24.02;29.18;-1;quatscirev_22_3211.pdf;Holmgren2003;??
115;115;Cruz2005_BotuveraCave_SA_d18O.dat;0;11;Botuvera Cv, Brasil;$\delta^{18}$O;Convection/Circulation;-27.22;-49.16;NaN;??;Cruz2005;Stalagmite
116;116;particles_jpaleolimn_27_207.dat;1;11;SW Australia;Particles;??;-36;148;-1;jpaleolimn_27_207.pdf;Stanley2002;??
117;117;SST_epsl_185_369.dat;0;8;Chilean Coast;SST;T;-41;-74.4;-1;epsl_185_369.pdf;Lamy2001;??
118;118;Chile_paleocean_17_727_d18O.dat;0;8;Chile;$\delta^{18}$O;??;-41;-74.45;-1;paleoce_17_727.pdf;Lamy2002;??
119;119;SAtlant_quatres_56_191_lithics.dat;0;10;S Atlantic;LG;??;-53.2;5.1;-1;quatres_56_191.pdf;Hodell2001c;??
120;120;epscilet_181_429_Inclination.dat;1;9;W Antarctic;Inclination;??;-64.51;-64.12;-1;epsl_181_429.pdf;Brachfeld2000;??
121;121;vostok_deut.dat;0;11;Vostok, Antarctica;$\delta^2$H;??;-72.47;106.8;11;nature_399_429.pdf;Petit1999;??
122;122;Komsomolskaia_quatres_54_348_deut.dat;0;11;Komsomolskaia;$\delta^2$H;??;-74.08;97.45;-1;quatres_54_348.pdf;Masson2000;??
123;123;taylordome_d18O.dat;0;11;Taylor dome;$\delta^{18}$O;??;-77.78;158.72;-1;?eos_75_225.pdf;Grootes1994;??
124;124;taylordome_top_deut.dat;0;11;Taylor dome;$\delta^2$H;??;-77.78;158.72;-1;science_282_92.pdf;Steig1998;??
125;501;d18O_pyramid_lake2.dat;0;3;Pyramid Lk, NV;$\delta^{18}$O;??;40;-120;-1;qsr_21_659.pdf;Benson2002;Record too short
126;502;d18O_science_274_1504_GRuber1.dat;0;3;Bermuda Rise;$\delta^{18}$O (B);??;33.42;-57.37;-1;science_274_1503.html;Keigwin1996;too short
127;503;Chichancanab_d18O_Cyprinotus.dat;0;2;??;??;??;NaN;NaN;NaN;??;??;too short
