"No";"No_sort";"Datafile";"t_min";"t_max";"Plotname";"Proxy";"Interpret";"Latitude";"Longitude";"CutoffFreq";"SourcePDF";"Source ";"Comment"
131;502;"d18O_science_274_1504_GRuber1.dat";0;3;"Bermuda Rise";"$\delta^{18}$O (B)";"??";33,42;-57,37;-1;"science_274_1503.html";"Keigwin1996";"too short"
132;503;"Chichancanab_d18O_Cyprinotus.dat";0;2;"??";"??";"??";"NaN";"NaN";"NaN";"??";"??";"too short"
133;504;"data/paleo/Greenland/naujg1-1.tsv";"---";"---";"Naujagdlup Lk, Greenland";"ROI";"Sat";66,67;51,97;"NaN";"??";"??";"Record too short"
134;505;"geophysrl_30_1617_stalagmite2.dat";0;3;"E Arabian Sea";"$\Delta$T";"??";39,8;115,9;-1;"?geophysreslet_30_1617.pdf";"Tan2003";"Record too short, no pdf yet"
135;601;"d13C_CostaRica_Venado.dat";5;9;"??";"??";"??";"NaN";"NaN";"NaN";"??";"??";"d18O record at same site preferred"
136;666;"radiolaria_quatres_56_191.dat";0;10;"S Atlantic";"??";"??";-52,2;6,1;-1;"quatres_56_191.pdf";"Hodell2001c";"There areno radiolaria in this publication"
137;666;"pollen_aust_myriophyllum.dat";0;12;"Australia";"Pollen (My)";"??";-36,52;149,5;-1;"?ClimateChange_Australia.pdf";"???";"no pdf yet"
138;777;"data/paleo/Indian/Arabian/Staubwasser2003ngdc.txt";"---";"---";"??";"??";"??";"NaN";"NaN";"NaN";"??";"??";"??"
139;777;"data/paleo/Pacific/SouthChina/Kienast2002ngdc.txt";"---";"---";"??";"??";"??";"NaN";"NaN";"NaN";"??";"??";"??"
140;777;"data/paleo/Africa/Congo/edward2003.txt";"---";"---";"??";"??";"??";"NaN";"NaN";"NaN";"??";"??";"??"
141;777;"data/paleo/Africa/Powers2005ngdc.txt";"---";"---";"??";"??";"??";"NaN";"NaN";"NaN";"??";"??";"??"
142;777;"data/paleo/Africa/Morocco/Hodell1995ngdc_s.txt";"---";"---";"??";"??";"??";"NaN";"NaN";"NaN";"??";"??";"??"
143;777;"data/paleo/America/Canada/Yu1998ngdc_twiss.txt";"---";"---";"??";"??";"??";"NaN";"NaN";"NaN";"??";"??";"??"
144;777;"data/paleo/Atlantic/Caribbean/Haug2001ngdc.txt";"---";"---";"??";"??";"??";"NaN";"NaN";"NaN";"??";"??";"??"
145;777;"data/paleo/Mediterranean/Lamy2006ngdc.txt";"---";"---";"??";"??";"??";"NaN";"NaN";"NaN";"??";"??";"??"
146;777;"data/paleo/America/Canada/Yu1998ngdc_crawford.txt";"---";"---";"??";"??";"??";"NaN";"NaN";"NaN";"??";"??";"??"
147;777;"data/paleo/America/Curtis1996ngdc.txt";"---";"---";"??";"??";"??";"NaN";"NaN";"NaN";"??";"??";"??"
148;777;"data/paleo/America/Curtis2001ngdc_pyrgophorus.txt";"---";"---";"??";"??";"??";"NaN";"NaN";"NaN";"??";"??";"??"
149;777;"data/paleo/America/Curtis2001ngdc_a.txt";"---";"---";"??";"??";"??";"NaN";"NaN";"NaN";"??";"??";"??"
150;777;"data/paleo/Atlantic/Tropical/Hughen1996ngdc.txt";"---";"---";"??";"??";"??";"NaN";"NaN";"NaN";"??";"??";"??"
151;777;"data/paleo/Africa/Uganda/Stager2005ngdc.txt";"---";"---";"??";"??";"??";"NaN";"NaN";"NaN";"??";"??";"??"
152;777;"d18O_pyramid_lake3.dat";0;2;"Pyramid Lk, Nevada";"$\delta^{18}$O";"??";40;-120;-1;"qsr_21_659.pdf";"Benson2002";"??"
153;777;"Solignac2007ngdc_NAtlantic_SST-2.dat";"---";"---";"N Iceland Shelf";"SST2";"??";66,63;-23,85;"NaN";"??";"Solignac2007";"data/paleo/Atlantic/North/Solignac2007ngdc.txt"
154;777;"data/paleo/Pacific/PeruChile/Lamy2002ngdc.txt";"---";"---";"??";"??";"??";"NaN";"NaN";"NaN";"??";"??";"??"
155;777;"data/paleo/Pacific/Northwest/Oba2004ngdc.txt";"---";"---";"??";"??";"??";"NaN";"NaN";"NaN";"??";"??";"??"
156;777;"Solignac2007ngdc_NAtlantic_SST-8.dat";"---";"---";"N Iceland Shelf";"SST8";"??";66,63;-23,85;"NaN";"??";"Solignac2007";"data/paleo/Atlantic/North/Solignac2007ngdc.txt"
157;777;"data/paleo/Pacific/Stott2004ngdc.txt";"---";"---";"??";"??";"??";"NaN";"NaN";"NaN";"??";"??";"??"
158;777;"data/paleo/Pacific/Northwest/Sun2005ngdc.txt";"---";"---";"??";"??";"??";"NaN";"NaN";"NaN";"??";"??";"??"
159;777;"Tasmania_Temp3.dat";0;4;"Tasmania";"T";"??";-43;147;-1;"climdyn_16_79.pdf";"Cook2000";"??"
160;777;"climdyn_16_79_temp3.dat";0;4;"S Australia";"T";"??";-41,83;145,53;-1;"climdyn_16_79.pdf";"Cook2000";"??"
161;777;"data/paleo/Africa/Johnson2003ngdc.txt";"---";"---";"??";"??";"??";"NaN";"NaN";"NaN";"??";"??";"??"
162;777;"data/paleo/Indian/Arabian/Gupta2003ngdc.txt";"---";"---";"??";"??";"??";"NaN";"NaN";"NaN";"??";"??";"??"
163;777;"data/paleo/Africa/Bonnefille2000ngdc.txt";"---";"---";"??";"??";"??";"NaN";"NaN";"NaN";"??";"??";"??"
164;777;"yamal_siberia3.dat";0;4;"NW Siberia";"T7";"??";69,85;67,75;-1;"?holocene_12_717.pdf";"Hantemirov2002";"no pdf yet, site?"
165;777;"data/paleo/America/Bolivia/Fritz2004ngdc.txt";"---";"---";"??";"??";"??";"NaN";"NaN";"NaN";"??";"??";"??"
166;777;"data/paleo/Africa/Morocco/Hodell1995ngdc_b.txt";"---";"---";"??";"??";"??";"NaN";"NaN";"NaN";"??";"??";"??"
167;777;"data/paleo/Pacific/Sulu/Rosenthal2004ngdc.txt";"---";"---";"??";"??";"??";"NaN";"NaN";"NaN";"??";"??";"??"
168;777;"data/paleo/Pacific/California/Barron2004ngdc.txt";"---";"---";"??";"??";"??";"NaN";"NaN";"NaN";"??";"??";"??"
169;777;"data/paleo/Atlantic/Moros2007ngdc.txt";"---";"---";"??";"??";"??";"NaN";"NaN";"NaN";"??";"??";"??"
170;777;"data/paleo/Pacific/Eastern/Benway2006ngdc.txt";"---";"---";"??";"??";"??";"NaN";"NaN";"NaN";"??";"??";"??"
171;777;"data/paleo/America/Hodell2001ngdc.txt";"---";"---";"??";"??";"??";"NaN";"NaN";"NaN";"??";"??";"??"
172;777;"data/paleo/America/Canada/Anderson2005ngdc.txt";"---";"---";"??";"??";"??";"NaN";"NaN";"NaN";"??";"??";"??"
173;777;"data/paleo/Antarctica/Steig1999ngdc_be.txt";"---";"---";"??";"??";"??";"NaN";"NaN";"NaN";"??";"??";"??"
